,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
0,-118.796,34.0836,32234,,DEFAULT,,,,1446964293703,,,,,,,,,,,,,,J40M,,2015/11/07 22:44:00+00,,,,,,,,,OSCC,,,,,,NEWTON,,WF,FI,,,,,{5B50F8C4-B4A3-4A6D-9FBE-76EDD2028403},,0,0.0,0.0,0,0.0,0.0,,1,001262,1621645975763,,,,Los Angeles,,6037,,CASMP,,Private,Private,,,,,,,,,CASMP,US-CA,,,,,,2015-CASMP-001262,,firecode,INFORM_Inspector,2015/11/08 06:31:33+00,2015/11/08 06:32:11+00,,,,{FAAFB4AE-874D-49A8-8ABF-65921B31A816},2021/05/22 01:12:55+00,2015/11/08 06:31:33+00
1,-118.82817078,34.0356292700001,84082,,DEFAULT,,,,1512663001690,,0.1,CALACC,,,,,,,,Undetermined,,,,,2017/12/07 16:04:25+00,,,,,,,,,OSCC,,,,,,HORIZON,,WF,FI,34.03562927,-118.82817078,,,{2C03A1EE-E6E4-4438-AE50-76A9B66CC2A2},,0,,,0,,,,1,364600,1621645791307,,,,Los Angeles,,6037,,CASMP,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2017-CALAC-364600,,lacocad,INFORM_Inspector,2017/12/07 16:10:01+00,2017/12/07 20:14:27+00,,,,{C7152F3E-76C5-4C66-99DF-C2FF9C40F788},2021/05/22 01:09:51+00,2017/12/07 16:10:01+00
2,-118.81655,34.0171800000001,90516,,DEFAULT,,,,1526777102533,,0.1,CALACC,,,,,,,,Unknown,,,,,2018/05/19 17:39:53+00,,,,,,,,,OSCC,,,,,,LAC-149724,,WF,FI,34.01718,-118.81655,,,{6DF807A3-9909-4E6D-A15A-DD5578CE5FDA},,0,,,0,,,,1,149724,1621645893987,,,,Los Angeles,CALACC,6037,NPS,CASMP,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2018-CALAC-149724,No Decision,lacocad,INFORM_Inspector,2018/05/20 00:45:02+00,2018/05/20 00:45:34+00,,,,{50623DE0-2B29-4F7A-89C5-244EECB4A8F6},2021/05/22 01:11:33+00,2018/05/20 00:45:02+00
3,-118.81127,34.0290200000001,110283,,DEFAULT,,,,1544376602410,,0.1,CALACC,,,,,,,,Unknown,,,,,2018/12/09 09:24:35+00,,,,,,,,,OSCC,,,,,,LAC-372198,,WF,FI,34.02902,-118.81127,,,{B83B01B9-3E10-42BB-BA39-73A2C594BA47},,0,,,0,,,,1,372198,1621646032840,,,,Los Angeles,CALACC,6037,,CASMP,,Private,Private,,,,,,,SC08,C&L,CALAC,US-CA,,,,,,2018-CALAC-372198,No Decision,lacocad,INFORM_Inspector,2018/12/09 17:30:02+00,2018/12/09 17:30:23+00,,,,{FC80702D-1A26-4633-BEB7-73BCED4C8A38},2021/05/22 01:13:52+00,2018/12/09 17:30:02+00
4,-112.5671,42.2381100000001,124538,,DEFAULT,,,,1562977610810,1.0,1.0,IDEIC,,,,,,,,Unknown,,,,,2019/04/17 19:25:45+00,,,,,,,,,GBCC,,,,,,Sheep Creek RX,,RX,FI,42.23811,-112.5671,,,{E07FF679-B40C-4A5E-933B-508FF8AE62AA},,0,0.0,0.0,0,0.0,0.0,,1,000004,1621608199157,,,,Oneida,IDEIC,16071,FS,IDCTF,,,,,,,,,,GB05,FS,IDCTF,US-ID,,,,,,2019-IDCTF-000004,No Decision,wildcad,wildcad,2019/07/13 00:26:50+00,2019/07/13 00:26:50+00,0.0,,,{2729B7B6-C55E-4B1A-BE19-93A41B5E71E0},2021/05/21 14:43:19+00,2019/07/13 00:26:50+00
5,-111.4269,42.0963300000001,132603,,DEFAULT,,,,1567005823653,20.0,1.0,IDEIC,,,,,,,,Unknown,,,,,2008/09/08 13:34:59+00,,,,,,,,,GBCC,,,,,,St. Charles RX,,RX,FI,42.103889,-111.547778,,,{A90929F6-96A3-4AE1-A388-E029CD829D52},,0,0.0,0.0,0,0.0,0.0,,1,008902,1621441591920,,,,Bear Lake,IDEIC,16007,FS,,,Private,Private,,,,,,,GB09,FS,IDCTF,US-ID,,,,,,2008-IDCTF-008902,No Decision,wildcad,wildcad,2019/08/28 15:23:43+00,2019/09/01 23:48:15+00,0.0,,,{C9F94774-482B-489F-8031-D4DAF92CC250},2021/05/19 16:26:31+00,2019/08/28 15:23:43+00
6,-105.756939,36.6729960000001,135582,,DEFAULT,,,,1568475288853,358.0,1.0,NMTDC,,,,,,,,Unknown,,,,,2019/09/11 18:36:43+00,,,,,,,,,SWCC,,,,,,East Cerro Montoso RX,,RX,FI,36.672996,-105.756939,,,{2B5B6BA2-9F3B-4ED7-9B00-655D79090C0D},,0,0.0,0.0,0,0.0,0.0,,1,000503,1620748926400,,,,Taos,NMTDC,35055,FS,NMCAF,,,,,,,,,,SW07,BLM,NMTAD,US-NM,,,,,,2019-NMTAD-000503,No Decision,wildcad,wildcad,2019/09/14 15:34:48+00,2019/09/26 22:44:28+00,0.0,,,{3BE6D56B-491D-4230-B25A-0E3C33D556E3},2021/05/11 16:02:06+00,2019/09/14 15:34:48+00
7,-105.662489,36.7403110000001,135861,,DEFAULT,,,,1568661720063,150.0,1.0,NMTDC,,,,,,,,Unknown,,,,,2019/09/16 19:16:58+00,,,,,,,,,SWCC,,,,,,Guadalupe RX,,RX,FI,36.740311,-105.662489,,,{D6910FEF-87EF-4875-8DBF-BCE92F05F536},,0,0.0,0.0,0,0.0,0.0,,1,000513,1620748841620,,,,Taos,NMTDC,35055,BLM,NMTAD,,,,,,,,,,SW07,BLM,NMTAD,US-NM,,,,,,2019-NMTAD-000513,No Decision,wildcad,wildcad,2019/09/16 19:22:00+00,2019/09/21 22:13:31+00,0.0,,,{2F765CDA-1FF3-40AE-9B53-58E13711AB45},2021/05/11 16:00:41+00,2019/09/16 19:22:00+00
8,-80.6396599999999,25.28752,142723,,DEFAULT,,,,1576505828157,12000.0,1.0,FLFIC,,,,,,,,Unknown,,,,,2019/12/16 14:15:54+00,,,,,,,,,SACC,,,,,,River of Grass South RX,,RX,FI,25.28752,-80.63966,,,{99C6EFF4-FAF4-4A79-BE46-A796EEE7082C},,0,0.0,0.0,0,0.0,0.0,,1,000561,1620849415510,,,,Miami-Dade,FLFIC,12086,NPS,FLEVP,,,,,,,,,,SA51B,NPS,FLEVP,US-FL,,,,,,2019-FLEVP-000561,No Decision,wildcad,wildcad,2019/12/16 14:17:08+00,2019/12/16 23:32:40+00,0.0,,,{8D7520F2-A5E8-49DA-B5BF-3B3B6AFB4BD7},2021/05/12 19:56:55+00,2019/12/16 14:17:08+00
9,-81.5041669999999,33.3491670000001,143537,,DEFAULT,,,,1578575395430,336.0,1.0,SCSRC,,,,,,,,Unknown,,,,,2020/01/09 13:06:10+00,,,,,,,,,SACC,,,,,,C-28 RX BURN,,RX,FI,33.349167,-81.504167,,,{A0E669E9-476F-40A6-9099-DB02A2638801},,0,0.0,0.0,0,0.0,0.0,,1,200014,1621436098893,,,,Barnwell,SCSCC,45011,FS,SCSRF,,,,,,,,,,SA36,FS,SCSRF,US-SC,,,,,,2020-SCSRF-200014,No Decision,wildcad,wildcad,2020/01/09 13:09:55+00,2020/01/09 20:29:18+00,0.0,,,{FA184D16-9546-4C14-9BB1-B48E9DC44BEF},2021/05/19 14:54:58+00,2020/01/09 13:09:55+00
