,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,CreatedOnDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedOnDateTime,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,CreatedOn,ModifiedOn,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,GlobalID,ModifiedOnDateTime_dt,CreatedOnDateTime_dt
0,-105.8367,35.72717,142489,,DEFAULT,,,,1575660247523,25.0,1.0,NMSFC,,,,,,,,Unknown,,,,,2019/12/06 19:11:08,,,,,,,,,SWCC,,,,,,Hyde Park Unit - DW Pile BP,,RX,FI,35.727109999999996,-105.8368,,,{F92EE1E2-2A1A-4FBD-9C9C-4A58C046462C},,0,0.0,0.0,0,0.0,0.0,,1,000557,1606936808160,,,,Santa Fe,NMSFC,35049,FS,NMSNF,,,,,,,,,,SW10,FS,NMSNF,US-NM,,,,,,2019-NMSNF-000557,No Decision,wildcad,wildcad,2019/12/06 19:24:07,2019/12/10 22:02:20,0.0,,,{AE6D4CB9-DF1D-4616-B6D3-859661A631EF},2020/12/02 19:20:08,2019/12/06 19:24:07
1,-112.12100000000001,36.00898,143414,,DEFAULT,,,,1578426917687,14.0,,AZWDC,,,,,,,,Unknown,,,,,2020/01/07 22:54:59,,,,,,,,,SWCC,,,,,,GCP-SOUTH RIM PILES 2020,,RX,FI,36.0498,-112.12621999999999,,,{14B48E1F-3538-4DBB-9BE9-9971BDA09771},,0,0.0,0.0,0,0.0,0.0,,1,000002,1607113428383,,,,Coconino,AZWDC,4005,NPS,AZGCP,,,,,,,,,,SW01,NPS,AZGCP,US-AZ,,,,,,2020-AZGCP-000002,No Decision,wildcad,wildcad,2020/01/07 19:55:17,2020/01/16 14:14:46,0.0,,,{8A0B1870-0F80-4075-BA64-938D494CF8C0},2020/12/04 20:23:48,2020/01/07 19:55:17
2,-86.52045,31.153240000000004,143445,,DEFAULT,,,,1578492853823,929.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/08 14:10:26,,,,,,,,,SACC,,,,,,CN Blue Springs East 06,,RX,FI,31.153440000000003,-86.52113,,,{A02E4407-C43D-4BFB-8C41-C0D6505401B3},,0,0.0,0.0,0,0.0,0.0,,1,000012,1606855373973,,,,Covington,ALAIC,1039,FS,ALALF,,,,,,,,,,SA39,FS,ALALF,US-AL,,,,,,2020-ALALF-000012,No Decision,wildcad,wildcad,2020/01/08 14:14:13,2020/01/08 14:14:13,0.0,,,{C238E469-489E-499F-9F5A-68E2E96A80F0},2020/12/01 20:42:53,2020/01/08 14:14:13
3,-85.52435,33.8037,143448,,DEFAULT,,,,1578493756083,469.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/08 14:28:41,,,,,,,,801.0,SACC,,,,,,SC Raven Rock A,,RX,FI,33.8037,-85.52435,,,{77F77236-D3B9-4986-8010-6B8BB5328CE5},,0,0.0,0.0,0,0.0,0.0,,1,000013,1606855334860,,,,Cleburne,ALAIC,1029,FS,ALALF,,,,,,,,,,SA38,FS,ALALF,US-AL,,,,,,2020-ALALF-000013,No Decision,wildcad,wildcad,2020/01/08 14:29:16,2020/01/08 14:42:25,0.0,,,{779710F7-CA19-4374-9BD3-052E4E123339},2020/12/01 20:42:14,2020/01/08 14:29:16
4,-85.63384,32.4611,143458,,DEFAULT,,,,1578496702123,250.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/08 15:17:45,,,,,,,,,SACC,,,,,,TK Comp 7 A,,RX,FI,32.4611,-85.63384,,,{19340358-9260-4524-AD19-D6FDDD4A5DF3},,0,0.0,0.0,0,0.0,0.0,,1,000014,1606855128790,,,,Macon,ALAIC,1087,FS,ALALF,,,,,,,,,,SA39,FS,ALALF,US-AL,,,,,,2020-ALALF-000014,No Decision,wildcad,wildcad,2020/01/08 15:18:22,2020/01/08 15:31:45,0.0,,,{AAFC8041-50AF-4147-884D-CE826CAE6DB6},2020/12/01 20:38:48,2020/01/08 15:18:22
5,-87.3636,34.1342,143463,,DEFAULT,,,,1578498262477,75.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/08 15:31:04,,,,,,,,,SACC,,,,,,BK Fairview,,RX,FI,34.1342,-87.3636,,,{1097FF68-4F4F-4CF2-A5BB-93B9A682EEB4},,0,0.0,0.0,0,0.0,0.0,,1,000015,1606854950280,,,,Winston,ALAIC,1133,FS,ALALF,,,,,,,,,,SA38,FS,ALALF,US-AL,,,,,,2020-ALALF-000015,No Decision,wildcad,wildcad,2020/01/08 15:44:22,2020/01/08 15:44:22,0.0,,,{DBB08448-1752-46BB-9E89-C203D6E203A8},2020/12/01 20:35:50,2020/01/08 15:44:22
6,-86.69912,31.0573,143541,HF01,DEFAULT,,,,1578577859877,780.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/09 13:45:56,,,,,,,NF,801.0,SACC,,,,,,CN Bear Bay 07,,RX,FI,31.0573,-86.69912,,,{A25AA09D-D783-4FDE-8676-C602E2CAE149},,0,0.0,0.0,0,0.0,0.0,,1,000016,1606854706100,,,,Covington,ALAIC,1039,FS,ALALF,,,,,,,,,,SA39,FS,ALALF,US-AL,,,,,,2020-ALALF-000016,No Decision,wildcad,wildcad,2020/01/09 13:50:59,2020/01/09 16:40:14,0.0,,,{9D76477E-0C76-490B-A4A8-54B727296C4D},2020/12/01 20:31:46,2020/01/09 13:50:59
7,-87.40674,32.89778,143574,,DEFAULT,,,,1578590545770,1651.0,1.0,ALAIC,,,,,,,,Unknown,,,,,2020/01/09 17:17:02,,,,,,,,,SACC,,,,,,OK Compartment 51,,RX,FI,32.89778,-87.40674,,,{703FD194-9B68-49E2-BE53-F3F1001D244A},,0,0.0,0.0,0,0.0,0.0,,1,000018,1606854674397,,,,Bibb,ALAIC,1007,FS,ALALF,,,,,,,,,,SA39,FS,ALALF,US-AL,,,,,,2020-ALALF-000018,No Decision,wildcad,wildcad,2020/01/09 17:22:25,2020/01/09 22:20:13,0.0,,,{AD1F6280-A8AD-4D07-A0ED-15C9B27601A8},2020/12/01 20:31:14,2020/01/09 17:22:25
8,-111.8998,46.44587,143661,,DEFAULT,,,,1578681574217,171.0,1.0,MTHDC,,,,,,,,Unknown,,,,,2020/01/10 16:12:37,,,,,,,,,NRCC,,,,,,Willard/ McClellan Piles,,RX,FI,46.43908,-111.8988,,,{AFB928E9-D71F-4F0C-B753-673816620800},,0,0.0,0.0,0,0.0,0.0,,1,000004,1606255233780,,,,Jefferson,MTHDC,30043,,MTCES,,,,,,,,,,NR11,FS,MTHLF,US-MT,,,,,,2020-MTHLF-000004,No Decision,wildcad,wildcad,2020/01/10 18:39:34,2020/01/10 18:41:46,0.0,,,{E5764CBF-9440-483F-A09A-EA102F0172D4},2020/11/24 22:00:33,2020/01/10 18:39:34
9,-112.2238,36.714890000000004,143695,,DEFAULT,,,,1578925231603,30.0,,AZWDC,,,,,,,,Unknown,,,,,2020/01/06 16:53:23,,,,,,,,,SWCC,,,,,,NKRD- MISC. DISTRICT PILES 2020,,RX,FI,36.7044,-112.258,,,{E4B07F52-FD39-440C-85A5-0884BF5FF694},,0,0.0,0.0,0,0.0,0.0,,1,000004,1607021706217,,,,Coconino,AZWDC,4005,FS,AZKNF,,,,,,,,,,SW01,FS,AZKNF,US-AZ,,,,,,2020-AZKNF-000004,No Decision,wildcad,wildcad,2020/01/13 14:20:31,2020/01/15 20:59:09,0.0,,,{EE587276-7CCB-4FF4-887F-22D2D2AE04DC},2020/12/03 18:55:06,2020/01/13 14:20:31
